,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
581,Economy Class,4,5,5,3,4,4,1,1
582,Economy Class,1,2,2,2,1,3,1,0
583,Economy Class,3,3,3,4,3,4,1,1
584,Economy Class,5,5,5,1,5,5,5,1
585,Business Class,4,5,5,5,3,5,2,1
586,Business Class,4,5,5,3,5,5,1,1
587,Economy Class,3,2,1,3,4,1,1,1
588,Economy Class,5,4,3,3,3,3,1,1
589,Economy Class,3,4,3,3,2,2,1,0
590,Economy Class,3,4,3,3,1,1,1,0
591,Economy Class,1,4,2,3,4,3,1,1
592,Economy Class,2,2,2,4,3,3,3,0
593,Economy Class,3,3,3,3,5,4,1,0
594,Business Class,1,1,2,1,1,1,1,0
595,Economy Class,2,4,4,2,3,3,1,0
596,Economy Class,2,2,2,1,1,1,1,0
597,Business Class,1,3,3,3,2,1,1,0
598,Economy Class,3,3,1,5,1,2,1,0
599,Economy Class,1,3,1,1,4,3,1,0
600,Economy Class,3,4,1,5,3,3,1,0
601,Economy Class,3,4,2,3,3,2,1,0
602,Economy Class,5,5,3,5,5,5,1,1
603,Business Class,1,1,1,1,1,1,1,0
604,First Class,5,5,5,3,5,5,1,1
605,Economy Class,3,3,3,3,1,1,1,0
606,Economy Class,2,2,3,3,1,1,1,0
607,Economy Class,1,1,1,1,1,1,1,0
608,Economy Class,4,3,4,3,3,4,3,1
609,First Class,4,5,4,4,4,4,3,1
610,Economy Class,3,4,3,3,3,1,1,0
611,Economy Class,4,5,4,3,5,5,1,1
612,Economy Class,3,4,3,5,4,5,1,0
613,Economy Class,3,5,3,3,4,3,1,1
614,Business Class,4,5,5,5,5,5,1,1
615,Business Class,4,5,5,5,5,4,1,1
616,Business Class,3,4,4,3,4,3,1,1
617,Economy Class,1,1,1,3,1,1,1,0
618,Economy Class,2,4,4,1,4,3,1,0
619,Economy Class,1,5,4,4,4,2,1,0
620,Business Class,3,3,2,4,3,3,1,0
621,Economy Class,4,3,2,3,1,3,1,0
622,Economy Class,3,1,2,4,3,3,1,0
623,Economy Class,3,1,3,3,1,2,1,0
624,Business Class,4,5,5,5,5,4,1,1
625,Economy Class,5,5,4,3,4,5,1,1
626,Economy Class,4,4,3,3,4,4,1,1
627,First Class,4,4,4,3,3,3,1,1
628,Economy Class,3,5,3,5,2,3,1,1
629,Economy Class,2,2,3,3,1,1,1,0
630,Business Class,1,3,3,3,1,1,1,0
631,Premium Economy,1,1,1,1,1,1,1,0
632,Business Class,3,4,4,3,1,2,1,0
633,Economy Class,4,5,4,3,4,4,4,1
634,Business Class,1,4,1,3,1,1,1,0
635,First Class,4,4,4,4,3,4,1,1
636,Economy Class,5,5,5,3,5,5,1,1
637,Business Class,2,1,1,1,3,2,1,0
638,Economy Class,3,5,2,2,1,1,1,0
639,Economy Class,5,5,5,3,4,5,1,1
640,Economy Class,3,3,3,3,1,1,1,0
641,Business Class,5,5,5,5,1,5,1,1
642,Business Class,5,5,5,5,5,5,1,1
643,Business Class,4,5,4,3,4,4,1,1
644,Economy Class,2,1,1,3,2,2,1,0
645,Business Class,2,2,2,2,3,2,1,0
646,Economy Class,2,2,3,3,1,1,1,0
647,Economy Class,3,5,4,2,5,5,1,1
648,Business Class,1,1,3,3,1,1,1,0
649,Economy Class,4,3,1,3,4,3,1,1
650,Business Class,4,2,3,3,3,2,1,0
651,Business Class,4,5,5,3,4,5,1,1
652,Business Class,2,3,4,1,4,2,1,0
653,Business Class,3,4,3,1,5,4,1,1
654,Economy Class,5,5,5,4,4,4,1,1
655,Business Class,1,4,4,3,3,1,1,0
656,Economy Class,4,1,1,3,3,2,1,0
657,Economy Class,5,4,2,3,3,3,1,1
658,First Class,5,5,5,5,5,5,1,1
659,Business Class,4,1,2,3,4,1,1,0
660,Economy Class,1,2,1,1,1,1,1,0
661,Economy Class,1,1,1,3,1,1,1,0
662,Economy Class,3,1,1,3,2,3,1,0
663,Economy Class,1,3,2,3,3,4,1,0
664,Economy Class,3,4,3,3,4,4,1,1
665,Business Class,5,4,2,2,4,3,1,1
666,Business Class,3,5,5,3,4,4,1,1
667,Economy Class,2,3,1,2,3,2,1,0
668,Economy Class,3,5,4,4,4,4,1,1
669,First Class,4,5,2,3,4,4,1,1
670,First Class,2,2,1,1,2,2,1,0
671,Economy Class,3,5,3,4,5,3,1,1
672,First Class,2,1,3,3,3,1,1,0
673,Economy Class,1,4,1,3,2,1,1,0
674,Economy Class,2,3,1,3,1,1,1,0
675,Business Class,4,5,5,5,4,5,1,1
676,Economy Class,2,5,5,5,1,2,1,0
677,Business Class,3,4,3,3,3,1,1,0
678,Economy Class,5,4,1,3,5,5,1,1
679,Economy Class,3,2,3,3,1,2,1,0
680,Economy Class,2,2,2,2,1,1,1,0
681,Economy Class,5,5,3,3,5,5,1,1
682,Business Class,2,1,1,1,3,1,1,0
683,Economy Class,4,5,3,4,5,4,1,1
684,Business Class,1,4,2,3,3,1,1,0
685,Economy Class,1,2,1,1,1,1,1,0
686,Economy Class,1,3,2,1,2,2,1,0
687,Economy Class,4,5,5,3,5,5,1,1
688,Economy Class,1,4,1,1,4,3,1,0
689,Business Class,1,2,1,4,1,1,2,0
690,Business Class,1,1,1,1,1,1,1,0
691,First Class,1,2,1,1,1,1,1,0
692,Economy Class,3,1,3,3,3,2,1,0
693,Economy Class,3,4,3,3,1,2,1,0
694,Business Class,2,1,1,3,4,1,1,0
695,Economy Class,3,3,3,2,3,3,2,1
696,Premium Economy,5,5,5,5,5,5,5,1
697,Premium Economy,5,4,3,3,2,4,1,1
698,Premium Economy,4,5,4,5,5,4,3,1
699,Business Class,4,1,2,3,4,2,1,0
700,Business Class,4,4,4,4,3,3,1,1
701,Economy Class,5,5,5,5,5,5,5,1
702,Economy Class,4,4,4,5,1,2,1,0
703,Economy Class,1,1,1,1,2,2,1,0
704,First Class,2,4,3,3,3,1,1,0
705,Economy Class,3,5,1,1,1,2,1,0
706,Economy Class,2,1,1,3,2,1,1,0
707,Premium Economy,5,4,5,5,4,5,1,1
708,Business Class,4,3,5,5,5,4,1,1
709,First Class,5,5,5,5,5,4,1,1
710,Economy Class,5,5,3,3,5,5,1,1
711,Premium Economy,3,3,3,1,1,2,3,0
712,Economy Class,3,4,3,3,5,4,1,1
713,Business Class,2,3,1,1,1,1,1,0
714,Economy Class,3,4,4,2,4,4,1,1
715,Business Class,3,3,3,4,3,3,4,1
716,Economy Class,3,1,3,1,1,1,1,0
717,Economy Class,3,3,2,3,4,4,1,1
718,Economy Class,3,4,3,2,3,3,1,1
719,Economy Class,3,4,2,3,4,2,1,0
720,Economy Class,2,1,4,3,4,2,1,0
721,First Class,4,3,3,3,3,3,3,1
722,Business Class,3,4,4,3,3,3,1,1
723,Business Class,4,5,4,5,4,4,4,1
724,Business Class,5,5,5,3,2,5,1,1
725,Premium Economy,1,1,1,1,3,1,1,0
726,Business Class,2,2,1,3,2,3,1,0
727,Economy Class,1,4,3,1,1,2,1,0
728,Premium Economy,3,4,1,3,3,3,3,0
729,Economy Class,5,5,3,3,2,5,1,1
730,Premium Economy,1,2,2,3,4,1,1,0
731,Economy Class,1,5,2,1,5,1,1,0
732,Business Class,1,2,1,1,3,1,1,0
733,Premium Economy,3,3,3,4,4,2,3,1
734,Premium Economy,3,4,3,3,3,2,3,0
735,Premium Economy,2,2,2,1,2,1,1,0
736,Economy Class,2,2,1,2,1,1,1,0
737,Economy Class,2,3,3,3,3,2,1,0
738,Economy Class,3,4,3,3,1,1,1,0
739,Economy Class,5,5,4,3,5,5,1,1
740,Economy Class,1,1,1,1,1,1,1,0
741,Economy Class,4,4,3,2,4,1,1,0
742,Economy Class,1,4,1,1,5,3,1,0
743,Economy Class,1,1,3,3,1,1,1,0
744,Economy Class,1,5,4,4,4,4,1,1
745,Economy Class,2,3,5,5,4,4,1,1
746,Economy Class,4,1,3,3,2,4,1,0
747,Economy Class,5,5,5,5,5,5,1,1
748,Premium Economy,4,4,4,4,4,3,1,1
749,Economy Class,3,4,3,3,1,3,1,0
750,Economy Class,5,5,5,3,5,4,1,1
751,Premium Economy,2,4,3,2,2,1,1,0
752,Economy Class,1,3,2,1,2,2,1,0
753,Economy Class,3,5,3,3,5,4,1,1
754,Economy Class,1,3,4,3,5,3,1,0
755,Premium Economy,3,4,3,3,3,1,1,0
756,Business Class,1,1,1,3,2,1,1,0
757,Economy Class,1,4,3,1,5,1,1,0
758,Economy Class,2,2,1,4,1,2,1,0
759,Economy Class,3,4,3,3,3,1,1,0
760,First Class,2,5,2,2,3,3,1,0
761,First Class,5,5,5,5,5,5,1,1
762,Economy Class,3,2,3,2,3,3,1,0
763,Business Class,1,1,2,3,2,1,1,0
764,Economy Class,4,5,5,5,4,4,2,1
765,Business Class,1,1,1,1,2,1,1,0
766,First Class,4,3,3,2,3,3,1,0
767,Business Class,2,1,1,3,3,2,1,0
768,First Class,2,2,2,1,1,1,1,0
769,Business Class,2,1,1,3,3,1,1,0
770,Economy Class,1,1,3,3,1,1,1,0
771,Economy Class,4,5,4,4,5,5,3,1
772,Economy Class,1,1,1,1,3,1,1,0
773,Premium Economy,5,5,5,3,5,5,1,1
774,Economy Class,3,2,3,3,1,1,1,0
775,Economy Class,3,4,3,3,3,1,1,0
776,Economy Class,3,4,4,1,4,4,3,1
777,Premium Economy,2,3,1,1,3,1,1,0
778,Business Class,5,5,5,3,5,5,1,1
779,Economy Class,3,1,3,3,1,2,1,0
780,Economy Class,2,4,4,4,2,2,1,0
781,Economy Class,1,4,3,3,1,1,1,0
782,First Class,5,5,5,4,4,4,1,1
783,Business Class,4,5,4,1,4,1,1,0
784,Economy Class,5,5,4,2,5,4,1,1
785,Economy Class,3,1,1,3,3,3,1,0
786,Premium Economy,2,3,2,3,5,2,1,0
787,Economy Class,2,1,3,3,1,1,1,0
788,Economy Class,3,5,4,4,4,5,1,1
789,Business Class,3,5,2,3,1,3,1,1
790,Economy Class,4,4,3,3,1,3,1,0
791,Economy Class,1,2,1,1,1,1,1,0
792,Business Class,1,2,2,3,3,1,1,0
793,Economy Class,3,4,3,3,1,1,1,0
794,Economy Class,1,1,1,1,1,1,1,0
795,Economy Class,5,1,3,3,5,5,1,0
796,Economy Class,4,3,2,2,3,3,1,1
797,Business Class,3,3,2,1,3,2,1,0
798,Economy Class,2,1,1,1,3,3,1,0
799,Business Class,1,2,3,1,2,1,1,0
800,Business Class,4,4,4,3,4,5,1,1
801,Economy Class,5,5,3,3,5,3,1,1
802,Business Class,1,1,2,3,2,1,1,0
803,Business Class,4,5,4,3,4,4,1,1
804,Economy Class,2,3,3,3,3,3,1,1
805,Economy Class,2,1,2,3,1,1,1,0
806,Economy Class,2,4,3,3,5,3,1,1
807,First Class,5,5,4,4,5,5,1,1
808,Economy Class,3,2,2,3,1,2,1,0
809,Economy Class,1,3,3,2,2,1,1,0
810,Economy Class,2,3,3,3,2,2,1,0
811,Business Class,2,2,1,1,4,2,1,0
812,Business Class,4,5,3,2,3,3,1,1
813,Business Class,1,1,1,1,3,3,1,0
814,Premium Economy,1,5,3,2,1,2,1,0
815,Business Class,1,1,1,1,1,1,1,0
816,First Class,4,1,1,3,1,1,1,0
817,Economy Class,1,3,2,1,4,1,1,0
818,Economy Class,5,5,5,4,4,5,1,1
819,Economy Class,5,5,5,4,4,5,1,1
820,Economy Class,1,1,3,3,1,1,1,0
821,Business Class,1,4,4,3,4,1,1,0
822,Economy Class,1,3,3,3,1,1,1,0
823,Premium Economy,3,4,3,3,5,4,1,1
824,Business Class,4,4,4,3,1,3,2,0
825,Business Class,1,2,2,3,1,2,1,0
826,Premium Economy,1,1,1,1,3,1,1,0
827,Economy Class,2,2,3,3,2,1,1,0
828,Premium Economy,5,5,5,4,3,5,1,1
829,Economy Class,4,4,3,3,4,3,1,1
830,Business Class,3,4,2,3,1,3,5,0
831,First Class,4,5,5,3,4,4,2,1
832,Economy Class,2,2,3,3,1,1,1,0
833,Business Class,3,5,5,3,5,5,1,1
834,Business Class,2,3,2,3,2,3,1,0
835,Economy Class,2,3,1,3,2,2,1,0
836,Economy Class,3,1,3,3,1,3,1,0
837,Premium Economy,3,5,5,2,4,4,1,1
838,Economy Class,5,5,3,3,4,4,1,1
839,Economy Class,4,4,3,3,5,4,1,1
840,Business Class,4,5,5,4,5,5,1,1
841,Business Class,1,1,2,3,2,2,1,0
842,Economy Class,1,1,3,3,2,1,1,0
843,Economy Class,3,3,2,1,4,2,1,0
844,Economy Class,3,3,3,3,3,2,1,0
845,Economy Class,5,5,3,5,4,3,1,1
846,Economy Class,5,4,3,3,5,4,1,1
847,Business Class,1,3,2,1,2,3,1,0
848,First Class,5,5,5,4,5,5,1,1
849,Premium Economy,3,1,1,3,4,3,1,0
850,Economy Class,1,1,1,1,1,1,1,0
851,Business Class,2,2,1,3,2,2,1,0
852,Business Class,4,3,3,3,1,1,1,0
853,Premium Economy,3,5,2,2,4,3,1,1
854,Business Class,4,5,4,1,4,4,1,0
855,Economy Class,5,5,2,3,4,3,1,1
856,Economy Class,3,5,5,3,4,3,1,1
857,Economy Class,3,5,4,3,4,4,1,1
858,First Class,4,5,3,3,5,4,1,0
859,Economy Class,2,1,1,1,1,1,1,0
860,Business Class,3,5,3,3,1,3,1,0
861,Business Class,3,5,4,3,4,4,1,1
862,Business Class,2,5,2,2,2,2,1,0
863,Economy Class,1,1,3,1,1,1,1,0
864,Economy Class,3,2,3,3,1,1,1,0
865,Premium Economy,4,5,4,4,4,5,1,1
866,Business Class,4,4,4,2,4,4,1,0
867,Economy Class,4,4,3,3,5,3,1,1
868,Economy Class,5,5,5,3,3,5,1,1
869,Business Class,3,4,3,3,1,1,1,0
870,Economy Class,3,1,1,4,1,3,1,0
871,Economy Class,3,5,5,3,1,2,1,0
872,Economy Class,2,1,1,3,1,3,1,0
873,Economy Class,1,1,3,3,1,1,1,0
874,Business Class,1,3,1,3,4,1,1,0
875,Premium Economy,4,5,4,5,5,4,3,1
876,Business Class,3,2,4,3,3,4,1,1
877,Business Class,3,4,3,3,5,4,1,1
878,First Class,4,5,4,5,1,5,4,0
879,Business Class,1,1,1,3,1,1,1,0
880,Business Class,4,5,5,3,3,5,1,1
881,Business Class,4,3,1,4,4,2,1,1
882,Economy Class,2,4,4,5,4,3,4,1
883,Economy Class,4,3,3,3,5,3,1,1
884,Premium Economy,3,3,2,3,1,2,2,0
885,Economy Class,3,3,1,1,1,2,1,0
886,Economy Class,4,4,2,3,5,3,1,1
887,Business Class,4,5,5,3,5,5,1,1
888,Economy Class,1,1,1,1,1,1,1,0
889,Economy Class,1,4,3,3,1,1,1,0
890,Business Class,1,5,4,2,2,3,1,0
891,Economy Class,1,1,1,3,4,1,1,0
892,Economy Class,1,3,3,3,3,2,1,0
893,First Class,3,2,2,2,3,1,2,0
894,Economy Class,1,1,1,3,1,1,1,0
895,Economy Class,1,4,1,4,1,1,1,0
896,Economy Class,1,1,1,3,1,1,1,0
897,Business Class,1,1,1,3,1,1,1,0
898,Premium Economy,5,5,3,4,5,5,1,1
899,Business Class,2,3,3,4,3,1,1,0
900,Premium Economy,4,4,4,4,4,4,1,1
901,Business Class,2,3,3,3,1,1,1,0
902,Business Class,5,5,5,3,4,4,1,1
903,First Class,2,4,2,2,2,4,1,0
904,Economy Class,3,4,3,3,3,1,1,0
905,Economy Class,3,5,5,5,1,1,5,0
906,Business Class,3,1,1,3,4,2,3,0
907,Business Class,4,5,5,4,5,3,1,1
908,Economy Class,1,1,1,1,4,2,1,0
909,Premium Economy,1,1,1,2,2,2,1,0
910,Economy Class,3,2,1,1,4,4,1,0
911,Economy Class,2,4,4,3,3,3,1,0
912,Economy Class,2,3,3,4,4,4,1,1
913,Business Class,2,3,3,3,3,1,1,0
914,Premium Economy,1,2,1,3,1,1,3,0
915,Economy Class,2,1,1,3,3,1,1,0
916,Business Class,2,3,2,2,3,3,1,0
917,Economy Class,3,4,3,3,3,2,1,0
918,Premium Economy,3,5,4,3,5,4,1,1
919,Economy Class,5,5,4,4,4,5,1,1
920,First Class,4,1,2,3,5,1,1,0
921,Business Class,4,5,5,3,4,5,1,1
922,Economy Class,3,1,1,3,3,2,1,0
923,Business Class,1,1,2,1,3,1,1,0
924,Business Class,5,5,4,3,5,5,1,1
925,Economy Class,2,2,3,3,3,3,1,0
926,Economy Class,3,5,1,3,2,1,1,0
927,First Class,4,2,4,3,4,3,1,1
928,First Class,3,4,3,3,2,1,1,0
929,Economy Class,2,3,1,3,1,1,1,0
930,Economy Class,3,4,3,3,3,1,1,0
931,Economy Class,2,1,3,3,1,1,1,0
932,Business Class,1,1,1,1,1,1,1,0
933,Economy Class,3,2,3,3,1,2,1,0
934,First Class,5,5,5,3,5,5,1,1
935,Economy Class,4,3,4,3,4,4,1,1
936,Economy Class,1,1,3,3,1,1,1,0
937,Economy Class,1,3,3,3,1,1,1,0
938,Premium Economy,1,4,2,1,2,1,1,0
939,Economy Class,4,2,1,1,3,4,1,0
940,Economy Class,4,3,1,1,4,4,1,0
941,Business Class,4,4,4,3,4,4,1,1
942,Economy Class,1,1,3,3,1,2,1,0
943,Economy Class,3,5,1,3,3,3,1,0
944,Economy Class,4,4,2,3,4,4,1,1
945,Business Class,3,1,1,1,3,2,1,0
946,Economy Class,1,3,3,4,2,3,1,0
947,First Class,3,2,2,1,4,1,1,0
948,Economy Class,4,4,3,3,3,5,1,1
949,Economy Class,3,2,1,2,1,1,1,0
950,Economy Class,2,2,1,1,4,3,1,0
951,Business Class,3,4,2,3,3,3,1,1
952,Economy Class,1,1,1,2,1,1,1,0
953,Economy Class,1,1,3,3,1,1,1,0
954,Business Class,4,3,4,1,4,4,1,1
955,Economy Class,1,1,3,3,1,1,1,0
956,Economy Class,5,5,5,4,2,5,1,1
957,Economy Class,4,4,3,3,4,3,3,1
958,Economy Class,4,4,2,4,4,3,4,0
959,Business Class,2,5,3,3,4,4,1,0
960,Business Class,4,5,4,5,5,5,1,1
961,Premium Economy,3,2,2,4,1,2,1,0
962,Business Class,4,3,3,4,4,3,3,1
963,Premium Economy,1,1,1,2,4,2,1,0
964,Business Class,4,5,4,3,4,3,1,1
965,Economy Class,3,3,3,3,1,1,1,0
966,Business Class,2,5,4,3,2,2,1,0
967,Economy Class,3,3,1,1,2,1,1,0
968,Economy Class,3,4,3,3,3,1,1,0
969,Business Class,4,4,4,5,5,4,4,1
970,Business Class,1,1,1,1,1,1,1,0
971,Business Class,1,1,1,3,1,1,1,0
972,Business Class,2,5,1,3,1,1,1,0
973,Business Class,1,4,1,3,1,2,1,0
974,Economy Class,4,4,4,4,4,4,1,1
975,Economy Class,2,2,1,2,3,2,1,0
976,Economy Class,3,3,3,2,3,2,1,0
977,Business Class,2,3,1,3,3,2,1,0
978,Economy Class,3,3,1,1,2,1,1,0
979,Premium Economy,1,1,2,3,1,1,1,0
980,Economy Class,2,1,1,1,1,1,1,0
981,Economy Class,3,2,2,3,2,1,1,0
982,Premium Economy,2,1,2,3,2,2,1,0
983,Premium Economy,2,2,2,2,1,1,1,0
984,Economy Class,1,1,3,3,3,2,1,0
985,Economy Class,1,5,2,2,1,3,1,0
986,Economy Class,3,4,3,3,1,1,1,0
987,Premium Economy,4,5,5,5,5,5,1,1
988,Business Class,2,2,2,3,3,1,1,0
989,Business Class,2,3,3,2,3,3,1,0
990,Business Class,4,5,4,3,4,4,1,1
991,Economy Class,2,4,1,2,2,3,1,0
992,Economy Class,4,5,5,5,5,5,1,1
993,Economy Class,3,4,4,3,5,4,1,1
994,First Class,5,4,4,3,4,4,1,1
995,Economy Class,2,2,2,1,2,1,1,0
996,Business Class,2,4,3,3,2,1,1,0
997,Economy Class,3,3,3,3,1,1,1,0
998,Economy Class,3,5,3,3,4,4,1,1
999,Economy Class,3,3,2,2,3,1,1,0
1000,Business Class,3,4,4,3,4,4,1,1
1001,Business Class,3,1,3,3,4,1,1,0
1002,Business Class,5,5,5,3,5,5,1,1
1003,Economy Class,5,5,5,5,5,5,1,1
1004,Economy Class,3,3,1,2,4,1,1,0
1005,Business Class,1,2,1,3,4,1,1,0
1006,Business Class,3,4,4,4,3,4,1,1
1007,Business Class,3,2,3,4,3,3,1,1
1008,Economy Class,1,2,1,2,1,2,1,0
1009,Economy Class,2,1,1,3,1,3,1,0
1010,First Class,4,1,1,1,2,1,1,0
1011,Economy Class,3,4,1,3,4,2,1,0
1012,Economy Class,5,5,3,3,4,3,1,0
1013,Economy Class,2,3,3,1,3,2,1,0
1014,Business Class,1,4,5,3,4,4,1,1
1015,Economy Class,3,3,3,3,3,2,1,0
1016,Economy Class,4,2,2,3,5,2,1,0
1017,Premium Economy,1,1,1,1,1,1,1,0
1018,Business Class,1,1,1,3,1,1,1,0
1019,Economy Class,3,4,3,2,4,4,1,1
1020,Business Class,3,1,1,3,3,1,1,0
1021,Premium Economy,5,5,3,5,5,5,1,1
1022,First Class,1,5,1,1,1,1,1,0
1023,Business Class,1,2,2,3,2,2,1,0
1024,Economy Class,1,3,3,3,3,5,1,0
1025,Business Class,1,1,1,1,3,1,1,0
1026,Economy Class,3,4,3,2,4,5,1,1
1027,Premium Economy,2,3,2,2,3,2,1,0
1028,Economy Class,4,5,4,4,3,5,1,1
1029,Business Class,2,3,2,1,3,2,1,0
1030,Economy Class,3,1,3,3,1,1,1,0
1031,Economy Class,1,1,1,1,2,2,1,0
1032,Business Class,1,4,2,1,2,1,1,0
1033,Economy Class,4,3,4,3,4,3,1,0
1034,Economy Class,2,1,1,3,1,2,1,0
1035,Business Class,5,5,5,3,4,5,1,1
1036,Business Class,3,5,5,3,4,4,1,1
1037,Economy Class,3,5,1,3,4,3,1,0
1038,Economy Class,5,5,3,5,5,4,1,1
1039,Business Class,3,4,3,3,3,4,1,1
1040,Premium Economy,1,1,3,3,1,1,1,0
1041,Economy Class,1,1,3,3,1,1,1,0
1042,Business Class,2,2,2,2,2,1,1,0
1043,Premium Economy,2,1,1,1,2,1,1,0
1044,Economy Class,3,4,4,5,4,5,1,1
1045,Economy Class,4,4,1,4,1,2,4,0
1046,Economy Class,3,4,3,3,3,1,1,0
1047,Economy Class,3,3,3,3,3,4,1,1
1048,Economy Class,3,4,3,3,2,2,1,0
1049,Business Class,5,4,4,3,4,4,1,1
1050,Economy Class,1,4,3,3,1,1,1,0
1051,Business Class,1,2,2,2,1,1,1,0
1052,Business Class,3,3,3,2,2,3,1,0
1053,Business Class,1,1,2,3,3,1,1,0
1054,Economy Class,1,1,3,1,1,1,1,0
1055,Economy Class,3,4,3,3,3,3,1,0
1056,Business Class,2,4,4,3,2,3,1,0
1057,Economy Class,2,4,1,1,1,1,1,0
1058,Business Class,1,1,1,2,2,1,1,0
1059,Business Class,5,5,5,2,5,5,2,1
1060,Business Class,5,5,5,5,5,5,1,1
1061,Business Class,4,5,5,4,3,4,1,1
1062,Business Class,1,1,1,3,1,1,1,0
1063,Economy Class,3,5,1,3,4,2,1,0
1064,Economy Class,1,1,2,1,2,1,1,0
1065,Economy Class,3,4,4,2,4,4,1,1
1066,Economy Class,5,5,3,3,4,5,1,1
1067,Economy Class,1,1,3,3,1,3,1,0
1068,First Class,5,5,5,5,4,5,1,1
1069,First Class,4,4,4,3,3,4,1,0
1070,Economy Class,1,2,1,2,1,1,1,0
1071,Business Class,2,1,1,3,3,1,1,0
1072,Economy Class,1,1,1,1,1,1,1,0
1073,Economy Class,5,5,4,4,4,4,1,1
1074,Business Class,1,2,1,3,1,1,1,0
1075,Business Class,1,1,3,3,1,1,1,0
1076,Premium Economy,1,3,4,1,2,1,1,0
1077,First Class,4,5,5,3,4,4,1,1
1078,Business Class,1,1,1,3,1,1,1,0
1079,Economy Class,1,1,1,2,3,2,1,0
1080,Economy Class,4,4,4,3,3,3,1,1
1081,Business Class,2,4,2,2,3,3,1,0
1082,Premium Economy,4,4,4,4,5,3,1,1
1083,Economy Class,2,4,2,3,1,1,1,0
1084,First Class,3,3,1,3,1,1,1,0
1085,Economy Class,1,1,1,2,1,1,1,0
1086,Economy Class,2,1,2,1,4,2,1,0
1087,Economy Class,1,1,1,1,1,1,1,0
1088,Economy Class,2,1,1,1,2,1,1,0
1089,Economy Class,3,2,3,3,5,2,1,0
1090,Economy Class,1,1,1,1,1,1,1,0
1091,Economy Class,1,1,1,1,1,1,1,0
1092,Business Class,5,5,4,4,4,5,1,1
1093,Economy Class,5,3,3,3,5,5,1,1
1094,Economy Class,4,5,3,3,4,4,1,1
1095,Premium Economy,4,4,4,3,4,4,1,1
1096,Premium Economy,4,4,3,3,4,4,1,1
1097,Economy Class,1,1,3,3,1,1,1,0
1098,Economy Class,2,2,3,2,1,2,1,0
1099,First Class,2,2,1,1,4,2,1,0
1100,First Class,3,4,2,2,3,1,1,0
1101,First Class,3,2,2,2,2,2,1,0
1102,Business Class,2,3,2,4,4,2,3,0
1103,Business Class,4,5,4,3,4,4,1,1
1104,Economy Class,1,1,3,3,1,1,1,0
1105,Business Class,4,5,5,5,4,4,4,1
1106,Economy Class,1,1,1,1,1,1,1,0
1107,Economy Class,5,5,5,3,5,5,1,1
1108,Business Class,4,5,4,4,3,3,1,0
1109,Business Class,1,3,3,3,1,3,1,0
1110,Economy Class,3,3,3,3,1,2,1,0
1111,Economy Class,4,1,3,3,2,1,1,0
1112,Business Class,2,3,2,1,2,3,1,0
1113,Economy Class,3,1,1,2,3,2,1,0
1114,Economy Class,2,1,1,3,1,1,1,0
1115,Economy Class,1,5,1,1,3,3,1,0
1116,Business Class,1,1,1,1,1,1,1,0
1117,First Class,4,5,5,3,4,4,1,1
1118,Premium Economy,2,4,3,1,5,3,1,0
1119,Economy Class,4,2,3,3,1,1,1,0
1120,Economy Class,3,4,3,3,3,1,1,0
1121,First Class,5,4,5,4,2,5,1,1
1122,Business Class,5,4,4,1,4,5,1,1
1123,Economy Class,4,3,2,4,3,4,1,1
1124,Economy Class,3,1,1,3,2,3,1,0
1125,Economy Class,1,1,2,4,4,2,1,0
1126,Economy Class,1,2,1,1,1,1,1,0
1127,Business Class,4,4,4,3,4,4,1,1
1128,Economy Class,4,1,3,1,5,3,3,0
1129,Premium Economy,1,1,1,3,3,1,3,0
1130,Business Class,3,4,2,3,2,3,1,0
1131,Business Class,3,3,3,3,4,3,1,0
1132,Economy Class,1,1,1,1,3,3,1,0
1133,Business Class,2,3,3,1,1,3,1,0
1134,Business Class,4,5,2,4,4,4,1,1
1135,Business Class,1,3,3,3,3,1,1,0
1136,Economy Class,1,1,1,3,1,1,1,0
1137,Economy Class,3,4,2,3,2,1,1,0
1138,Business Class,3,4,3,3,4,3,1,1
1139,Business Class,2,3,2,3,3,1,1,0
1140,Business Class,1,3,3,1,1,1,1,0
1141,Business Class,3,4,2,1,5,1,1,0
1142,Business Class,2,2,3,3,1,1,1,0
1143,Economy Class,1,1,1,1,1,1,1,0
1144,Economy Class,1,1,1,4,1,1,1,0
1145,Economy Class,1,1,1,1,2,1,1,0
1146,Economy Class,2,2,3,3,3,2,1,0
1147,Business Class,1,3,1,2,2,1,1,0
1148,Business Class,2,5,5,3,4,3,1,1
1149,Premium Economy,1,1,1,1,1,1,1,0
1150,Economy Class,1,2,1,1,2,3,1,0
1151,Business Class,2,2,1,1,1,2,3,0
1152,First Class,3,4,3,4,3,2,1,0
1153,Economy Class,1,1,3,3,3,1,1,0
1154,Economy Class,4,4,4,4,4,4,1,1
1155,Economy Class,4,4,2,3,4,3,1,1
1156,Business Class,1,4,2,2,1,1,1,0
1157,Economy Class,3,1,1,3,4,4,1,0
1158,Business Class,4,4,3,2,4,4,1,1
1159,Economy Class,3,4,1,3,3,3,1,0
1160,Economy Class,3,2,2,2,3,5,1,0
1161,Economy Class,1,2,3,3,2,1,1,0
1162,Economy Class,2,2,1,1,2,1,1,0
