,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
131,Economy Class,3,4,3,3,3,1,1,0
132,Economy Class,2,1,2,3,1,1,1,0
133,Economy Class,5,5,5,5,5,5,5,1
134,Business Class,3,5,5,3,5,4,1,1
135,Business Class,4,5,5,3,5,5,1,1
136,Business Class,1,2,1,3,3,1,1,0
137,Business Class,1,1,1,1,1,1,1,0
138,Economy Class,1,1,1,3,1,1,1,0
139,Economy Class,3,3,1,3,1,1,1,0
140,Business Class,5,5,5,4,3,4,1,1
141,Economy Class,2,3,2,3,1,2,1,0
142,Business Class,3,4,3,3,3,1,1,0
143,Economy Class,4,5,4,3,4,3,3,1
144,Business Class,2,4,2,3,2,2,1,0
145,Economy Class,5,5,4,5,5,4,5,1
146,Economy Class,1,1,1,3,1,3,1,0
147,Business Class,3,2,2,1,2,2,1,0
148,Business Class,5,5,5,5,4,5,3,1
149,Economy Class,1,1,1,3,1,1,1,0
150,Business Class,3,4,3,3,3,1,1,0
151,Business Class,5,5,5,3,5,4,1,1
152,Business Class,4,4,4,4,2,5,5,1
153,Business Class,2,4,2,3,2,3,1,1
154,Business Class,1,1,1,3,1,1,1,0
155,Business Class,2,3,3,1,4,3,1,1
156,Economy Class,1,1,3,3,1,1,1,0
157,Business Class,4,5,4,3,1,4,3,0
158,Economy Class,1,1,1,1,1,1,1,0
159,Business Class,4,5,4,2,4,4,1,1
160,Business Class,3,3,1,3,3,1,1,0
161,Economy Class,3,1,1,1,2,4,1,0
162,Business Class,2,1,2,1,1,1,1,0
163,Economy Class,2,1,2,3,1,1,1,0
164,Business Class,2,1,1,2,3,2,1,0
165,Economy Class,3,3,1,3,1,3,1,0
166,Economy Class,3,4,3,3,3,1,1,0
167,Economy Class,4,1,1,1,1,3,1,0
168,Premium Economy,3,2,1,3,4,2,1,0
169,First Class,5,1,1,4,2,2,1,0
170,Economy Class,3,4,3,1,3,3,1,0
171,Economy Class,1,3,1,3,1,1,1,0
172,Premium Economy,4,2,2,3,4,3,1,0
173,Economy Class,2,2,1,3,1,1,1,0
174,Premium Economy,1,3,3,3,1,1,1,0
175,Business Class,3,5,2,3,1,2,1,0
176,Economy Class,2,3,2,3,1,1,1,0
177,Premium Economy,3,3,2,3,2,3,1,1
178,Business Class,3,4,1,1,2,1,2,0
179,Business Class,3,3,2,1,3,3,1,0
180,Business Class,1,3,1,3,3,1,1,0
181,Premium Economy,4,5,5,5,4,5,4,1
182,Business Class,3,3,2,3,3,2,3,0
183,Economy Class,2,3,1,3,1,1,1,0
184,Economy Class,3,4,3,3,1,1,1,0
185,Business Class,4,5,4,4,5,4,4,1
186,Economy Class,1,2,1,1,1,1,1,0
187,Business Class,3,4,3,3,3,1,1,0
188,Business Class,4,5,5,4,5,4,5,1
189,Business Class,3,4,3,3,3,1,1,0
190,Business Class,5,5,5,3,4,5,1,1
191,Economy Class,3,4,3,3,3,4,1,1
192,Business Class,4,5,4,4,5,5,1,1
193,Business Class,3,4,2,4,3,3,1,1
194,Business Class,2,4,3,1,3,3,1,0
195,Economy Class,2,1,1,2,1,1,1,0
196,Economy Class,3,4,4,4,1,4,1,0
197,Business Class,3,2,3,3,4,3,1,1
198,Economy Class,5,5,5,3,5,5,1,1
199,Business Class,4,2,1,3,1,1,1,0
200,Economy Class,1,1,2,3,1,2,1,0
201,Economy Class,1,4,1,1,1,1,1,0
202,Business Class,2,1,1,3,1,1,1,0
203,Economy Class,2,4,3,3,1,2,1,0
204,Business Class,2,1,1,3,2,1,1,0
205,Business Class,3,3,2,5,4,3,1,1
206,Premium Economy,1,1,3,3,1,1,1,0
207,Business Class,4,5,4,3,5,4,5,1
208,Business Class,4,5,5,3,3,4,1,1
209,Economy Class,1,4,1,1,2,1,1,0
210,Economy Class,5,5,4,3,5,5,1,1
211,First Class,4,5,5,3,4,4,5,1
212,Business Class,1,2,3,1,1,2,1,0
213,Business Class,4,2,3,4,1,4,3,1
214,Economy Class,3,4,3,3,1,1,1,0
215,Business Class,1,5,3,2,5,3,1,0
216,Business Class,1,2,2,3,2,1,1,0
217,Business Class,1,1,1,1,1,1,1,0
218,Economy Class,1,1,3,3,1,1,1,0
219,Economy Class,3,4,1,3,1,1,1,0
220,Economy Class,3,4,3,3,1,1,1,0
221,Business Class,3,4,4,3,1,3,1,0
222,Business Class,1,4,3,3,1,2,1,0
223,Business Class,3,2,3,3,4,2,1,0
224,Business Class,4,5,5,3,4,4,1,1
225,Economy Class,1,5,1,3,1,2,1,0
226,Economy Class,3,4,3,3,1,1,1,0
227,Business Class,3,3,1,3,2,1,1,0
228,Business Class,2,5,3,3,3,3,1,1
229,Economy Class,1,2,2,2,1,1,2,0
230,Economy Class,2,3,2,5,2,2,1,0
231,Economy Class,2,2,2,2,1,1,1,0
232,Economy Class,3,2,2,3,2,3,1,0
233,Premium Economy,4,4,3,3,1,3,1,0
234,Economy Class,4,5,4,3,4,4,1,1
235,Business Class,2,4,2,3,3,3,3,1
236,Business Class,4,4,4,3,5,4,1,1
237,Premium Economy,4,5,5,4,3,5,1,1
238,Economy Class,5,5,3,3,2,4,1,1
239,Economy Class,1,4,4,3,4,5,1,1
240,Business Class,3,5,3,2,4,4,2,1
241,Economy Class,4,5,3,3,1,1,1,0
242,Economy Class,5,5,5,5,5,5,5,1
243,Premium Economy,3,3,4,4,4,4,1,1
244,Business Class,5,5,5,5,5,5,5,1
245,Business Class,2,4,4,3,4,1,4,0
246,Economy Class,3,4,3,3,3,1,1,0
247,Economy Class,1,1,1,3,1,2,1,0
248,Business Class,3,4,3,3,4,4,3,1
249,Economy Class,3,4,3,3,1,1,1,0
250,Business Class,2,1,3,3,1,1,1,0
251,Premium Economy,5,5,3,3,5,5,1,1
252,Economy Class,4,3,3,3,4,5,1,1
253,Economy Class,1,1,1,3,1,1,1,0
254,Business Class,3,1,2,3,1,1,1,0
255,Business Class,3,1,1,2,3,4,2,0
256,Business Class,3,3,3,3,3,3,2,1
257,Business Class,3,5,4,3,3,4,4,1
258,Economy Class,4,4,1,3,1,1,1,0
259,Economy Class,3,4,3,3,3,1,1,0
260,Economy Class,3,4,3,3,1,3,1,0
261,Business Class,3,4,3,3,3,1,1,0
262,Economy Class,2,3,3,3,1,3,1,0
263,Economy Class,1,1,1,1,1,1,1,0
264,Economy Class,3,4,3,3,3,1,1,0
265,Economy Class,5,4,1,1,3,2,1,1
266,Economy Class,4,5,4,3,5,5,5,1
267,Economy Class,4,5,4,4,4,4,4,1
268,Business Class,4,1,2,3,1,1,1,0
269,Business Class,3,2,2,3,1,2,1,0
270,Business Class,3,4,5,3,3,3,1,0
271,Economy Class,3,4,3,3,3,1,1,0
272,Premium Economy,1,1,3,3,1,1,1,0
273,Business Class,4,5,5,4,4,4,4,1
274,Business Class,5,5,4,4,4,5,4,1
275,Economy Class,3,4,3,3,3,1,1,0
276,Economy Class,3,3,3,3,1,2,1,0
277,Business Class,3,4,3,3,3,3,1,1
278,Business Class,1,2,3,3,3,1,1,0
279,Business Class,4,3,3,3,5,4,1,1
280,Economy Class,4,4,4,4,4,4,1,1
281,Business Class,4,4,4,3,5,4,1,1
282,Economy Class,3,3,3,3,3,1,1,0
283,Economy Class,4,5,4,3,4,4,5,1
284,Business Class,3,3,3,3,4,4,1,1
285,Economy Class,4,5,4,3,5,4,1,1
286,Economy Class,2,4,1,3,3,1,1,0
287,Economy Class,1,1,1,3,1,1,1,0
288,Economy Class,1,1,3,3,1,1,1,0
289,Economy Class,2,2,3,3,1,1,1,0
290,Economy Class,5,5,5,5,5,3,5,0
291,Economy Class,5,5,5,5,4,5,1,1
292,First Class,2,5,1,2,3,3,1,0
293,Economy Class,3,4,3,3,3,1,1,0
294,Economy Class,5,4,4,3,5,3,1,1
295,Economy Class,5,5,3,3,5,5,1,1
296,Economy Class,5,5,3,3,5,4,1,1
297,Premium Economy,4,1,1,5,5,5,4,0
298,Business Class,3,5,3,3,4,4,5,1
299,Economy Class,1,1,1,1,1,1,1,0
300,Economy Class,5,4,3,3,3,5,1,1
301,Economy Class,5,5,5,5,5,5,5,1
302,Economy Class,5,5,1,5,5,2,3,0
303,Business Class,5,5,5,5,4,5,5,1
304,Economy Class,4,4,3,3,1,2,1,0
305,Economy Class,2,3,2,3,5,1,1,0
306,Economy Class,1,1,2,3,2,2,1,0
307,Economy Class,5,5,3,3,5,5,1,1
308,Premium Economy,3,4,3,3,3,1,1,0
309,Economy Class,3,4,3,3,3,1,1,0
310,Economy Class,3,4,3,3,3,1,1,0
311,Economy Class,1,1,3,3,1,1,1,0
312,Economy Class,3,4,3,3,5,3,1,1
313,First Class,3,4,3,3,3,1,1,0
314,Business Class,3,4,3,3,3,1,1,0
315,Economy Class,3,4,3,3,3,1,1,0
316,Premium Economy,3,4,3,3,3,1,1,0
317,Business Class,3,4,3,3,3,1,1,0
318,Economy Class,3,4,3,3,3,1,1,0
319,Premium Economy,3,2,1,3,2,1,1,0
320,Economy Class,3,3,2,3,5,1,1,0
321,Business Class,5,5,5,5,5,5,1,1
322,Business Class,5,5,5,2,5,5,1,1
323,Economy Class,1,1,1,2,1,1,1,0
324,Economy Class,3,4,3,3,3,1,1,0
325,Business Class,3,3,3,3,3,1,1,0
326,Economy Class,5,5,3,3,4,3,1,1
327,Economy Class,2,3,2,1,1,2,1,0
328,Economy Class,3,4,3,3,1,1,1,0
329,Economy Class,3,4,3,3,3,1,1,0
330,Business Class,3,5,4,3,3,1,1,0
331,Economy Class,3,4,3,3,1,1,1,0
332,Economy Class,3,4,3,3,3,1,1,0
333,Economy Class,3,4,3,3,3,5,1,0
334,Premium Economy,5,5,4,2,5,5,1,1
335,Economy Class,3,4,3,3,3,1,1,0
336,Economy Class,1,4,3,3,1,1,1,0
337,Business Class,1,1,1,1,1,1,1,0
338,Business Class,1,1,1,1,1,1,1,0
339,Economy Class,3,4,3,3,3,1,1,0
340,Economy Class,2,3,3,2,1,1,1,0
341,Business Class,3,4,3,3,3,1,1,0
342,Economy Class,3,4,3,3,1,1,1,0
343,Economy Class,3,5,4,5,4,4,1,1
344,Economy Class,5,5,5,3,5,5,1,1
345,Economy Class,4,5,5,4,5,5,1,1
346,Economy Class,4,5,5,4,2,4,1,1
347,Business Class,1,4,3,3,1,1,1,0
348,Economy Class,3,3,3,3,1,1,1,0
349,Economy Class,2,3,1,3,3,3,1,0
350,Premium Economy,4,5,5,5,4,5,1,1
351,Business Class,3,4,3,3,3,1,1,0
352,First Class,3,5,1,3,2,3,1,0
353,Premium Economy,1,1,1,3,1,1,1,0
354,Business Class,4,2,1,3,3,3,1,0
355,Economy Class,1,3,1,1,1,2,1,0
356,Economy Class,1,1,3,3,1,1,1,0
357,Business Class,1,4,3,1,4,1,1,0
358,Economy Class,3,4,3,3,1,1,1,0
359,Economy Class,5,5,4,5,5,4,1,1
360,Business Class,4,4,4,3,5,4,2,1
361,Economy Class,2,3,2,3,1,1,1,0
362,Business Class,2,3,2,1,3,2,1,0
363,Economy Class,5,5,3,3,3,5,3,1
364,Business Class,3,4,3,3,3,3,1,1
365,Business Class,2,2,2,4,4,1,1,0
366,Business Class,5,5,5,3,1,3,1,0
367,Business Class,4,4,3,3,4,4,1,1
368,Economy Class,5,5,5,5,5,5,1,1
369,Business Class,3,5,4,4,3,5,1,1
370,Economy Class,2,4,4,1,4,2,1,0
371,Economy Class,2,5,5,2,1,3,1,1
372,Economy Class,1,1,1,1,1,1,1,0
373,Economy Class,4,5,4,3,4,3,1,1
374,First Class,4,5,5,4,4,4,1,1
375,Economy Class,1,1,2,3,2,3,1,0
376,Business Class,3,4,4,4,1,2,1,0
377,Economy Class,5,5,5,3,4,5,1,1
378,Economy Class,4,5,3,4,5,4,1,1
379,Economy Class,2,1,2,3,1,3,1,0
380,Business Class,3,3,3,3,4,4,1,1
381,Business Class,2,1,1,3,2,2,1,0
382,Business Class,4,4,4,3,4,4,2,1
383,Economy Class,2,5,4,2,1,5,1,1
384,Business Class,1,1,1,3,1,1,1,0
385,Premium Economy,3,1,1,2,3,2,1,0
386,Business Class,4,5,4,3,5,4,1,1
387,Business Class,5,5,5,3,4,5,1,1
388,Business Class,1,3,2,1,4,2,5,1
389,Business Class,3,5,5,3,4,5,1,1
390,Economy Class,1,3,1,1,2,1,1,0
391,Economy Class,2,1,1,1,5,1,1,0
392,Business Class,3,4,3,4,1,3,1,0
393,Business Class,1,3,2,2,1,1,1,0
394,Economy Class,2,2,3,3,1,1,1,0
395,Economy Class,2,2,1,3,1,1,1,0
396,Business Class,5,5,5,5,4,5,2,1
397,Economy Class,3,1,1,3,3,4,1,0
398,Economy Class,2,1,1,3,1,1,1,0
399,Economy Class,3,3,2,1,4,3,1,1
400,Economy Class,3,5,4,3,4,4,3,1
401,Economy Class,5,5,5,2,4,5,1,1
402,Business Class,3,4,4,3,3,4,1,1
403,Business Class,5,5,5,5,5,5,1,1
404,Economy Class,2,1,3,3,1,1,1,0
405,Economy Class,3,4,3,3,3,2,1,0
406,Economy Class,2,2,3,3,1,1,1,0
407,Economy Class,2,2,1,1,5,5,1,0
408,Premium Economy,3,4,3,3,3,1,1,0
409,Economy Class,1,1,1,1,1,1,1,0
410,Economy Class,1,1,1,1,1,1,1,0
411,Business Class,3,5,4,4,5,4,5,1
412,Economy Class,2,5,5,3,1,3,1,0
413,Business Class,4,5,5,1,5,5,1,1
414,Economy Class,1,1,3,3,3,1,1,0
415,Business Class,3,5,5,3,5,4,1,1
416,Economy Class,1,3,3,3,2,1,1,0
417,Business Class,3,3,3,3,3,4,1,1
418,First Class,4,5,5,5,5,5,1,1
419,Business Class,3,5,5,3,5,4,1,1
420,Economy Class,3,4,4,2,3,4,1,1
421,Business Class,1,4,3,1,1,1,1,0
422,Business Class,3,2,3,3,3,2,1,0
423,Business Class,4,2,2,3,4,3,1,0
424,Economy Class,1,2,2,3,1,1,1,0
425,Economy Class,3,1,3,3,1,1,1,0
426,Business Class,3,3,3,3,3,3,1,1
427,Premium Economy,4,4,2,3,2,2,1,0
428,Economy Class,5,5,3,3,5,5,1,1
429,Economy Class,1,4,3,3,1,1,1,0
430,Economy Class,4,3,3,3,4,2,1,0
431,Economy Class,5,5,4,4,5,5,1,1
432,Economy Class,2,3,2,1,3,2,1,0
433,Economy Class,4,2,3,2,3,3,1,0
434,Business Class,1,1,1,1,2,1,1,0
435,Economy Class,1,4,1,1,1,2,1,0
436,Business Class,5,5,5,5,5,5,5,1
437,Economy Class,2,2,2,1,2,3,1,0
438,Economy Class,1,1,1,1,1,1,2,0
439,Business Class,4,1,2,3,5,2,1,0
440,Economy Class,4,4,4,4,4,3,1,1
441,Economy Class,4,5,3,5,5,5,5,1
442,Economy Class,5,5,5,5,5,5,1,1
443,Economy Class,4,5,4,5,5,4,1,1
444,Economy Class,1,4,3,2,4,2,1,0
445,Business Class,4,5,4,3,5,4,1,1
446,Economy Class,3,4,3,3,3,1,1,0
447,Business Class,5,5,5,5,4,5,1,1
448,Economy Class,3,2,3,3,1,2,1,0
449,Premium Economy,3,4,3,3,1,1,1,0
450,Business Class,2,4,4,1,3,2,1,0
451,Economy Class,1,3,1,3,3,3,1,1
