,Date Flown,Aircraft,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
71,November 2021,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
72,July 2022,NaN,Solo Leisure,Economy Class,3,5,3,NaN,3,1,NaN,no
73,July 2022,A380,Family Leisure,Business Class,4,5,4,4,4,4,5,yes
74,May 2022,A320,Solo Leisure,Economy Class,1,1,NaN,NaN,1,1,NaN,no
75,July 2022,NaN,Family Leisure,Economy Class,2,2,2,NaN,1,1,NaN,no
76,June 2022,NaN,Couple Leisure,Economy Class,5,5,5,5,1,1,NaN,no
77,July 2022,A350-1000,Couple Leisure,Economy Class,1,2,3,1,3,3,NaN,yes
78,May 2022,A321,Couple Leisure,Economy Class,3,4,1,NaN,1,4,NaN,yes
79,July 2022,A321,Business,Economy Class,4,5,2,NaN,2,4,NaN,yes
80,July 2022,NaN,NaN,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
81,July 2022,NaN,Couple Leisure,Business Class,5,5,5,5,5,5,NaN,yes
82,July 2022,A350,Family Leisure,Business Class,4,4,4,5,5,4,5,yes
83,July 2022,NaN,Family Leisure,Economy Class,1,1,NaN,NaN,1,1,NaN,no
84,July 2022,NaN,Solo Leisure,Premium Economy,1,1,1,1,1,1,1,no
85,July 2022,Embraer 190,Couple Leisure,Business Class,4,4,3,NaN,1,1,NaN,no
86,July 2022,"A320, Boeing 787",Solo Leisure,Premium Economy,3,3,3,2,1,2,1,no
87,June 2022,NaN,Couple Leisure,Premium Economy,NaN,NaN,NaN,NaN,NaN,1,NaN,no
88,June 2022,A350,Couple Leisure,Economy Class,1,3,3,2,2,4,NaN,no
89,June 2022,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
90,June 2022,NaN,Family Leisure,Business Class,2,2,2,2,1,1,NaN,no
91,July 2021,NaN,Couple Leisure,Economy Class,1,1,1,1,1,1,1,no
92,June 2022,NaN,Business,Business Class,3,4,4,2,3,1,1,no
93,June 2022,NaN,Family Leisure,Economy Class,2,2,1,1,1,2,1,no
94,June 2022,NaN,Couple Leisure,Premium Economy,2,2,2,2,2,2,2,no
95,April 2022,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
96,June 2022,NaN,Family Leisure,Economy Class,3,1,2,NaN,1,1,NaN,no
97,June 2022,A350,Business,Economy Class,1,4,1,2,3,2,1,no
98,June 2022,A320,Couple Leisure,Economy Class,1,4,1,1,2,1,1,no
99,June 2022,NaN,Couple Leisure,Business Class,2,4,2,2,4,2,NaN,no
100,June 2022,A320,Business,Business Class,3,2,2,NaN,2,3,3,no
101,June 2022,NaN,Couple Leisure,Economy Class,1,4,4,3,1,1,1,no
102,June 2022,NaN,Couple Leisure,Economy Class,1,1,NaN,NaN,1,1,NaN,no
103,June 2022,A380,Solo Leisure,Economy Class,1,2,1,3,2,3,NaN,no
104,June 2022,Boeing 777-200,Couple Leisure,Business Class,4,4,3,5,2,4,4,yes
105,June 2022,NaN,Business,Economy Class,2,2,NaN,NaN,2,1,NaN,no
106,June 2022,Boeing 777,Couple Leisure,Premium Economy,4,3,2,4,3,3,NaN,no
107,June 2022,NaN,Couple Leisure,Economy Class,2,2,3,4,1,1,NaN,no
108,June 2022,NaN,Family Leisure,Business Class,1,1,1,1,1,1,1,no
109,June 2022,A320,Couple Leisure,Business Class,5,5,5,NaN,5,5,NaN,yes
110,April 2022,NaN,Family Leisure,Economy Class,5,5,5,NaN,5,4,NaN,yes
111,June 2022,A380,Solo Leisure,Business Class,4,5,3,4,2,5,4,yes
112,May 2022,Boeing 777-300ER,Business,Economy Class,4,5,5,NaN,5,3,5,yes
113,May 2022,NaN,Solo Leisure,Economy Class,4,4,4,NaN,4,3,1,yes
114,February 2022,NaN,Couple Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
115,April 2022,Boeing 777,Couple Leisure,Business Class,4,4,3,NaN,3,3,NaN,yes
116,May 2022,NaN,Couple Leisure,Business Class,4,3,3,4,1,1,NaN,no
117,May 2022,Boeing 777-300,Family Leisure,Economy Class,1,5,1,3,3,1,NaN,no
118,May 2022,NaN,Family Leisure,Business Class,NaN,NaN,NaN,NaN,NaN,2,NaN,no
119,May 2022,NaN,Couple Leisure,Business Class,2,2,1,NaN,4,1,NaN,no
120,May 2022,NaN,Couple Leisure,Economy Class,2,1,1,NaN,1,1,NaN,no
121,May 2022,NaN,Business,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
122,March 2022,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
123,March 2022,NaN,Solo Leisure,Business Class,NaN,NaN,NaN,NaN,1,1,NaN,no
124,May 2022,A320,Solo Leisure,Economy Class,3,2,1,1,1,3,1,no
125,May 2022,NaN,Solo Leisure,Economy Class,1,2,2,2,1,2,1,no
126,May 2022,A320,Couple Leisure,Business Class,2,4,3,NaN,3,2,2,no
127,April 2022,Boeing 787,Solo Leisure,Premium Economy,5,4,4,3,4,4,NaN,yes
128,May 2022,NaN,Business,Economy Class,3,4,4,4,1,1,4,no
129,May 2022,NaN,Solo Leisure,Economy Class,1,5,NaN,NaN,4,1,NaN,no
130,May 2022,Boeing 777,Solo Leisure,Premium Economy,5,5,5,5,5,5,3,yes
131,May 2022,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
132,April 2022,Boeing 777,Solo Leisure,Economy Class,2,1,2,NaN,1,1,NaN,no
133,April 2022,NaN,Solo Leisure,Economy Class,5,5,5,5,5,5,5,yes
134,April 2022,A321 Neo,Family Leisure,Business Class,3,5,5,NaN,5,4,NaN,yes
135,April 2022,A320,Couple Leisure,Business Class,4,5,5,NaN,5,5,NaN,yes
136,April 2022,NaN,Business,Business Class,1,2,1,NaN,3,1,NaN,no
137,March 2022,A320,Solo Leisure,Business Class,1,1,1,1,1,1,1,no
138,April 2022,Boeing 737 800,Couple Leisure,Economy Class,1,1,1,NaN,1,1,NaN,no
139,April 2022,A320,Couple Leisure,Economy Class,3,3,1,NaN,1,1,1,no
140,March 2022,Boeing 787,Solo Leisure,Business Class,5,5,5,4,3,4,NaN,yes
141,April 2022,NaN,Couple Leisure,Economy Class,2,3,2,3,1,2,NaN,no
142,April 2022,NaN,Couple Leisure,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
143,April 2022,A380,Family Leisure,Economy Class,4,5,4,3,4,3,3,yes
144,April 2022,A320neo,Business,Business Class,2,4,2,NaN,2,2,1,no
145,April 2022,NaN,Couple Leisure,Economy Class,5,5,4,5,5,4,5,yes
146,March 2022,NaN,Solo Leisure,Economy Class,1,1,1,NaN,1,3,NaN,no
147,April 2022,A320 / Boeing 777,Couple Leisure,Business Class,3,2,2,1,2,2,NaN,no
148,April 2022,Boeing 777-200,Business,Business Class,5,5,5,5,4,5,3,yes
149,April 2022,NaN,Couple Leisure,Economy Class,1,1,1,NaN,1,1,NaN,no
150,June 2022,NaN,Family Leisure,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
151,April 2022,Embraer,Solo Leisure,Business Class,5,5,5,NaN,5,4,NaN,yes
152,March 2022,Boeing 777-200ER,Solo Leisure,Business Class,4,4,4,4,2,5,5,yes
153,March 2022,A319,Couple Leisure,Business Class,2,4,2,NaN,2,3,NaN,yes
154,April 2022,A320,Business,Business Class,1,1,1,NaN,1,1,NaN,no
155,March 2022,Boeing 777,Couple Leisure,Business Class,2,3,3,1,4,3,NaN,yes
156,April 2022,NaN,Business,Economy Class,1,1,NaN,NaN,1,1,NaN,no
